partNumber,nps,pressureClass,material,thicknessLabel,thicknessIn,pricePerLb,actualWeightLbs,adjustedWeightLbs,wholesalePrice,listPrice
PBSA36-CX900T3/4S16,"16""",900,SA-36,"3/4""",0.75,1.87,101.92,142.69,312,344
PBSA516-70-CX900T3/4S16,"16""",900,SA-516-70,"3/4""",0.75,2.18,101.92,142.69,356,392
PB304L-CX900T3/4S16,"16""",900,304L,"3/4""",0.75,6.01,106.48,149.07,941,1036
PB316L-CX900T3/4S16,"16""",900,316L,"3/4""",0.75,7.48,107.69,150.77,1173,1291
PBAL6061-CX900T3/4S16,"16""",900,AL-6061,"3/4""",0.75,5.1,35.91,50.27,301,332
PB304-CX900T7/8S16,"16""",900,304,"7/8""",0.875,5.55,124.22,173.91,1010,1111
PBSA36-CX900T7/8S16,"16""",900,SA-36,"7/8""",0.875,1.87,118.91,166.47,356,392
PBSA516-70-CX900T7/8S16,"16""",900,SA-516-70,"7/8""",0.875,2.18,118.91,166.47,408,449
PB304L-CX900T7/8S16,"16""",900,304L,"7/8""",0.875,6.01,124.22,173.91,1090,1199
PB316L-CX900T7/8S16,"16""",900,316L,"7/8""",0.875,7.48,125.64,175.9,1361,1498
PBAL6061-CX900T7/8S16,"16""",900,AL-6061,"7/8""",0.875,5.1,41.9,58.66,344,379
PB304-CX900T1S16,"16""",900,304,"1""",1,5.55,141.97,198.76,1148,1263
PBSA36-CX900T1S16,"16""",900,SA-36,"1""",1,1.87,135.9,190.26,401,442
PBSA516-70-CX900T1S16,"16""",900,SA-516-70,"1""",1,2.18,135.9,190.26,460,507
PB304L-CX900T1S16,"16""",900,304L,"1""",1,6.01,141.97,198.76,1239,1363
PB316L-CX900T1S16,"16""",900,316L,"1""",1,7.48,143.58,201.01,1548,1703
PBAL6061-CX900T1S16,"16""",900,AL-6061,"1""",1,5.1,47.88,67.03,387,426
PB304-CX900T1-1/8S16,"16""",900,304,"1-1/8""",1.125,5.55,159.72,223.61,1286,1415
PBSA36-CX900T1-1/8S16,"16""",900,SA-36,"1-1/8""",1.125,1.87,152.89,214.05,445,490
