partNumber,nps,pressureClass,material,thicknessLabel,thicknessIn,pricePerLb,actualWeightLbs,adjustedWeightLbs,wholesalePrice,listPrice
PBAL6061-CX150T1-7/8S1/2,"1/2""",150,AL-6061,"1-7/8""",1.875,5,1.11,1.55,43,48
PB304-CX150T2S1/2,"1/2""",150,304,"2""",2,5.5,3.51,4.91,62,69
PBSA36-CX150T2S1/2,"1/2""",150,SA-36,"2""",2,1.85,3.36,4.7,44,49
PBSA516-70-CX150T2S1/2,"1/2""",150,SA-516-70,"2""",2,2.15,3.36,4.7,45,50
PB304L-CX150T2S1/2,"1/2""",150,304L,"2""",2,5.95,3.51,4.91,64,71
PB316L-CX150T2S1/2,"1/2""",150,316L,"2""",2,7.4,3.55,4.97,72,80
PBAL6061-CX150T2S1/2,"1/2""",150,AL-6061,"2""",2,5,1.18,1.65,43,48
PB304-CX150T2-1/4S1/2,"1/2""",150,304,"2-1/4""",2.25,5.5,3.95,5.53,65,72
PBSA36-CX150T2-1/4S1/2,"1/2""",150,SA-36,"2-1/4""",2.25,1.85,3.78,5.29,45,50
PBSA516-70-CX150T2-1/4S1/2,"1/2""",150,SA-516-70,"2-1/4""",2.25,2.15,3.78,5.29,46,51
PB304L-CX150T2-1/4S1/2,"1/2""",150,304L,"2-1/4""",2.25,5.95,3.95,5.53,68,75
PB316L-CX150T2-1/4S1/2,"1/2""",150,316L,"2-1/4""",2.25,7.4,3.99,5.59,76,84
PBAL6061-CX150T2-1/4S1/2,"1/2""",150,AL-6061,"2-1/4""",2.25,5,1.33,1.86,44,49
PB304-CX150T2-1/2S1/2,"1/2""",150,304,"2-1/2""",2.5,5.5,4.38,6.13,69,76
PBSA36-CX150T2-1/2S1/2,"1/2""",150,SA-36,"2-1/2""",2.5,1.85,4.2,5.88,46,51
PBSA516-70-CX150T2-1/2S1/2,"1/2""",150,SA-516-70,"2-1/2""",2.5,2.15,4.2,5.88,47,52
PB304L-CX150T2-1/2S1/2,"1/2""",150,304L,"2-1/2""",2.5,5.95,4.38,6.13,71,79
PB316L-CX150T2-1/2S1/2,"1/2""",150,316L,"2-1/2""",2.5,7.4,4.43,6.2,81,90
PBAL6061-CX150T2-1/2S1/2,"1/2""",150,AL-6061,"2-1/2""",2.5,5,1.48,2.07,45,50
PB304-CX150T3S1/2,"1/2""",150,304,"3""",3,5.5,5.26,7.36,75,83
PBSA36-CX150T3S1/2,"1/2""",150,SA-36,"3""",3,1.85,5.04,7.06,48,53
PBSA516-70-CX150T3S1/2,"1/2""",150,SA-516-70,"3""",3,2.15,5.04,7.06,50,56
PB304L-CX150T3S1/2,"1/2""",150,304L,"3""",3,5.95,5.26,7.36,79,87
PB316L-CX150T3S1/2,"1/2""",150,316L,"3""",3,7.4,5.32,7.45,90,100
PBAL6061-CX150T3S1/2,"1/2""",150,AL-6061,"3""",3,5,1.77,2.48,47,52
PB304-CX150T11GAS3/4,"3/4""",150,304,11 Gauge,0.1196,5.5,0.25,0.35,37,41
PBSA36-CX150T11GAS3/4,"3/4""",150,SA-36,11 Gauge,0.1196,1.85,0.24,0.34,35,39
PBSA516-70-CX150T11GAS3/4,"3/4""",150,SA-516-70,11 Gauge,0.1196,2.15,0.24,0.34,36,40
PB304L-CX150T11GAS3/4,"3/4""",150,304L,11 Gauge,0.1196,5.95,0.25,0.35,37,41
PB316L-CX150T11GAS3/4,"3/4""",150,316L,11 Gauge,0.1196,7.4,0.25,0.35,37,41
PBAL6061-CX150T11GAS3/4,"3/4""",150,AL-6061,11 Gauge,0.1196,5,0.1,0.15,35,39
PB304-CX150T1/8S3/4,"3/4""",150,304,"1/8""",0.125,5.5,0.26,0.36,37,41
PBSA36-CX150T1/8S3/4,"3/4""",150,SA-36,"1/8""",0.125,1.85,0.25,0.35,35,39
PBSA516-70-CX150T1/8S3/4,"3/4""",150,SA-516-70,"1/8""",0.125,2.15,0.25,0.35,36,40
PB304L-CX150T1/8S3/4,"3/4""",150,304L,"1/8""",0.125,5.95,0.26,0.36,37,41
PB316L-CX150T1/8S3/4,"3/4""",150,316L,"1/8""",0.125,7.4,0.26,0.36,38,42
PBAL6061-CX150T1/8S3/4,"3/4""",150,AL-6061,"1/8""",0.125,5,0.1,0.15,35,39
PB304-CX150T3/16S3/4,"3/4""",150,304,"3/16""",0.1875,5.5,0.39,0.55,38,42
PBSA36-CX150T3/16S3/4,"3/4""",150,SA-36,"3/16""",0.1875,1.85,0.37,0.52,36,40
PBSA516-70-CX150T3/16S3/4,"3/4""",150,SA-516-70,"3/16""",0.1875,2.15,0.37,0.52,36,40
PB304L-CX150T3/16S3/4,"3/4""",150,304L,"3/16""",0.1875,5.95,0.39,0.55,38,42
PB316L-CX150T3/16S3/4,"3/4""",150,316L,"3/16""",0.1875,7.4,0.4,0.56,39,43
PBAL6061-CX150T3/16S3/4,"3/4""",150,AL-6061,"3/16""",0.1875,5,0.13,0.18,36,40
PB304-CX150T1/4S3/4,"3/4""",150,304,"1/4""",0.25,5.5,0.52,0.73,39,43
PBSA36-CX150T1/4S3/4,"3/4""",150,SA-36,"1/4""",0.25,1.85,0.5,0.7,36,40
PBSA516-70-CX150T1/4S3/4,"3/4""",150,SA-516-70,"1/4""",0.25,2.15,0.5,0.7,36,40
PB304L-CX150T1/4S3/4,"3/4""",150,304L,"1/4""",0.25,5.95,0.52,0.73,39,43
PB316L-CX150T1/4S3/4,"3/4""",150,316L,"1/4""",0.25,7.4,0.53,0.74,40,44
PBAL6061-CX150T1/4S3/4,"3/4""",150,AL-6061,"1/4""",0.25,5,0.18,0.25,36,40
PB304-CX150T5/16S3/4,"3/4""",150,304,"5/16""",0.3125,5.5,0.65,0.91,40,44
PBSA36-CX150T5/16S3/4,"3/4""",150,SA-36,"5/16""",0.3125,1.85,0.62,0.87,36,40
PBSA516-70-CX150T5/16S3/4,"3/4""",150,SA-516-70,"5/16""",0.3125,2.15,0.62,0.87,37,41
PB304L-CX150T5/16S3/4,"3/4""",150,304L,"5/16""",0.3125,5.95,0.65,0.91,40,44
PB316L-CX150T5/16S3/4,"3/4""",150,316L,"5/16""",0.3125,7.4,0.66,0.92,42,47
PBAL6061-CX150T5/16S3/4,"3/4""",150,AL-6061,"5/16""",0.3125,5,0.22,0.31,36,40
PB304-CX150T3/8S3/4,"3/4""",150,304,"3/8""",0.375,5.5,0.78,1.09,41,46
PBSA36-CX150T3/8S3/4,"3/4""",150,SA-36,"3/8""",0.375,1.85,0.75,1.05,37,41
PBSA516-70-CX150T3/8S3/4,"3/4""",150,SA-516-70,"3/8""",0.375,2.15,0.75,1.05,37,41
PB304L-CX150T3/8S3/4,"3/4""",150,304L,"3/8""",0.375,5.95,0.78,1.09,41,46
PB316L-CX150T3/8S3/4,"3/4""",150,316L,"3/8""",0.375,7.4,0.79,1.11,43,48
PBAL6061-CX150T3/8S3/4,"3/4""",150,AL-6061,"3/8""",0.375,5,0.26,0.36,37,41
PB304-CX150T1/2S3/4,"3/4""",150,304,"1/2""",0.5,5.5,1.04,1.46,43,48
PBSA36-CX150T1/2S3/4,"3/4""",150,SA-36,"1/2""",0.5,1.85,1,1.4,37,41
